x,y,time
-0.469363298373,52.1181297563,323.0
-0.469869461771,52.1192850582,346.778751
-0.470511928319,52.1203328185,375.885325
-0.470823420131,52.1212017099,460.46671
-0.470190654596,52.1210751837,475.687539
-0.469402127434,52.1209933195,534.241274
-0.468749886865,52.1209408074,553.588812
-0.468379956035,52.1210468961,634.651082
-0.468555172507,52.1219549198,652.004151
-0.468506494656,52.1224822465,700.502473
-0.468214448117,52.1231820568,715.688735
-0.467902937405,52.1238190123,752.38444
-0.467260422298,52.122634282,801.558088
-0.466569240145,52.12170307,892.5675
-0.466257730426,52.1206971921,919.093191
-0.46588781894,52.1197080602,1008.411946
-0.465751536056,52.1194048869,1030.447041
-0.465761300495,52.1185464711,1093.626879
-0.466121508449,52.1183405269,1150.734594
-0.466316216245,52.1182162565,1183.950352
-0.466559608646,52.1179069106,1194.395829
-0.466929522092,52.1183484348,1244.688912
-0.466793217369,52.1186613043,1301.42836
-0.467163149302,52.1186921347,1386.844824
-0.467610968208,52.1185637378,1390.85891
-0.468156145597,52.1182705349,1401.661151
-0.468584480411,52.118421505,1465.600741
-0.468925169099,52.1192478302,1466.911842
-0.468642844043,52.1194998999,1538.930288
-0.469295100747,52.1192101995,1549.111713
-0.469616387304,52.1185362961,1597.406214
-0.470229748366,52.1175733344,1622.841755
-0.47030772852,52.1161821461,1690.511497
-0.470444098632,52.1152533275,1780.18971
-0.470239717129,52.1146617381,1856.179279
-0.470220300971,52.1141197891,1928.208503
-0.469762841454,52.1132585442,2018.970803
-0.469645915217,52.1142502099,2111.83186
-0.469188315179,52.1147577991,2149.598159
-0.468769690228,52.1149120161,2239.573749
-0.468536023007,52.1151843217,2317.461742
-0.468078446116,52.1154865926,2349.887198
-0.467766903525,52.1157127837,2369.310313
-0.467484565189,52.1159648274,2468.8656
-0.467104874295,52.1162447805,2484.99524
-0.466705700757,52.1167356593,2555.79868
-0.466335750251,52.1169786052,2605.950585
-0.466209185241,52.1171175579,2699.580665
-0.466695912649,52.1176624924,2771.212991
-0.467085288787,52.1182353286,2781.732026
-0.46736756281,52.1192837747,2802.652499
-0.467688794756,52.1200472601,2858.592153
-0.467873749776,52.1204391343,2929.135364
-0.46771798271,52.1207575954,2936.95873
-0.467007312838,52.1222961694,2988.011713
-0.466656860504,52.123355002,3007.631458
-0.466423241073,52.1243803498,3035.052538
-0.467007367305,52.1254449558,3098.912765
-0.467669351024,52.1258026772,3143.733554
-0.468545494372,52.1260304916,3147.720736
-0.469207561593,52.128167926,3194.445869
-0.468448228107,52.1277697262,3202.221522
-0.468078317081,52.12794432,3206.03156
-0.467981010541,52.1285883358,3222.036005
-0.467474886038,52.1296919581,3261.819202
-0.46745548179,52.1304505576,3330.708972
-0.467650289362,52.1316268947,3384.180128
-0.467358387349,52.1328744866,3452.872112
-0.46694960506,52.1334710493,3480.117832
-0.466579783229,52.1341933641,3526.711089
-0.466579938172,52.1352887247,3554.366617
-0.465840225062,52.1360488034,3599.375214
-0.465353642145,52.1369416266,3692.882132
-0.465509732865,52.138813889,3701.575313
-0.465860481633,52.1403564052,3746.964198
-0.466756436869,52.1421531455,3841.526732
-0.467808056023,52.1434943195,3927.098677
-0.469054320475,52.1446425854,3939.196313
-0.469755442176,52.1456735678,3940.612704
-0.46876268143,52.1461642472,3964.064191
-0.468061655135,52.1455440324,4050.695516
-0.46743842851,52.1446275627,4094.434555
-0.467671933331,52.1441496537,4171.389353
-0.466892913154,52.143004049,4258.789627
-0.466250127999,52.1416138799,4296.482984
-0.465938526322,52.1411556215,4390.915789
-0.465217673757,52.1386923507,4470.765059
-0.464808628613,52.137645847,4554.628414
-0.463620982126,52.1375075617,4649.294011
-0.463017143049,52.1358322599,4707.899197
-0.462685971664,52.1346264303,4767.815485
-0.462646893517,52.1336791045,4799.750219
-0.462802568154,52.1330866922,4841.866377
-0.461887294036,52.131500777,4932.277036
-0.461867953598,52.1325333223,4948.123236
-0.460407594118,52.1315145809,5031.639178
-0.459784530889,52.1312825553,5104.833334
-0.459316993919,52.1289518625,5154.017059
-0.459492102145,52.1276007749,5175.230007
-0.460465638568,52.128006156,5187.205255
-0.461341830119,52.1285079016,5192.041561
-0.461867610143,52.1295209415,5234.644165
-0.461108372532,52.1303549668,5267.222359
-0.460582791094,52.1312589064,5277.688546
-0.460037761004,52.1322369209,5320.58019
-0.459998956155,52.1332066282,5382.894947
